,Job_Title,Company,Location,First_Posted,Link,Job_Desc
10,Business Analyst - Banking (Data Analysis / SQL),Cognizant Technology Solutions Asia Pacific Pte Ltd,Singapore,1d ago,https://www.jobstreet.com.sg/en/job/business-analyst-banking-data-analysis-sql-8167924?jobId=jobstreet-sg-job-8167924&sectionRank=11&token=0~a0dc3286-3f87-48b4-bfba-a600cb04b8e3&fr=SRP%20Job%20Listing,"ResponsibilitiesSeasoned Business Analyst with end to end experience in business analysis development lifecycle and working within Business, Change Management or IT teamsOwn and create ‘Business & Functional Specification Documentation’ and be a single point of contact for projects or initiatives allocated toEnd to end support across all SDLC stages - development/test/production coordination on all stages.Qualifications & Relevant ExperienceDegree in Computer Science / Business Administration or equivalentMinimum 4 years of overall Business Analyst experience with a focus in data analysis, data mapping, data visualization, data analytics in IT Consulting firmsDomain experience in retail and digital banking is desiredStrong SQL proficiencyProject management / PMO: ability to independently manage small team, support Project ManagerActive approach to solving assigned tasksProblem solving and critical mindsetAbility to work in a team and to work under stressDiligence, punctuality, a systematic responsible approachWillingness to invest time in its own knowledge and competencies"
11,Data Analyst,D L Resources Pte Ltd,Singapore,1d ago,https://www.jobstreet.com.sg/en/job/data-analyst-8121432?jobId=jobstreet-sg-job-8121432&sectionRank=12&token=0~a0dc3286-3f87-48b4-bfba-a600cb04b8e3&fr=SRP%20Job%20Listing,"Job Roles:Regular data mining, transformation, visualization, analytics and reporting worksCoordinate with various internal and external technology stakeholders across the different application domains, information security and infrastructure sectors to ensure smooth data-to-insights communication.Responsible for delivering, standardizing and automating data analytic reports, notifications and dashboards.Job Requirements:Degree in Computer Science, Engineering, Mathematics & Statistics or related discipline.At least 3 - 7 years’ prior data analytics/science experience, proficient in statistical tools such as Excel Macro and Data visualization tools such as Powerpoint and Sharepoint is a must.Proven ability to deliver data transformation, visualization and analytics in technology in the banking industryProven ability in standardizing and automating data analytic reports, notifications and dashboardsAdditional experience in data transformation and data visualization tools such as Tableau, Spotfire, Kibana, Qlikview is a strong plus.Additional experience in application support environment and understanding of ITIL methodology is a plusWe offer an attractive remuneration package. Please send your detailed resume via APPLY NOW or to:D L Resources Pte Ltd10 Anson Road #19-12 International Plaza Singapore 079903We regret that only short-listed candidates will be notified."
12,Data Analyst-Cust Exp[East/ Banking/ Contract]-SL,Kelly Services (S) Pte Ltd,Central,1d ago,https://www.jobstreet.com.sg/en/job/data-analyst-cust-exp[east-banking-contract]-sl-8167424?jobId=jobstreet-sg-job-8167424&sectionRank=14&token=0~a0dc3286-3f87-48b4-bfba-a600cb04b8e3&fr=SRP%20Job%20Listing,"- East Working location- 12month Kelly Services Contract- Reputable Local BankJob DescriptionExploratory data analysis to understand customer struggles in the digital journey and create actionable insights through journey analyticsDeep-dive analysis using advanced statistical methods to understand the primary drivers behind customer strugglesApply machine learning techniques to do customer segmentation, intelligent targeting and predictive servicingAble to understand and solve the business problem by translating into a data model and building insights into an actionable outcomeAnalyse experiment results and identify opportunities for improving experiment uplift; propose new experiment iterations based on the insights from the dataSupport full lifecycle of experimentation (A/B testing) through journey analytics and machine learning driven insightsCollaborate with cross-functional business teams to deliver high-impact insights using analytics across a variety of customer servicing areasCreate visualization/dashboards for key metrics/insightsVerification/UAT of technology solution to ensure functional requirements are metRequirementsDegree or higher in Statistics/ Data Science/ Computing/Engineering, with a strong background in statistical conceptsA good understanding of data analysis and machine learning, NLP conceptsExcellent hands-on experience in  - Python, Pyspark, Spark SQL/mysql  - Hadoop eco-system (Hive, HDFS, Pig etc.)  - End to end data science workflow, starting from data extraction, wrangling, modelling and deployment in production environmentFamiliarity with Linux based operating systemA good understanding of data analysis and machine learningExcellent hands-on experience in  - Python, Pyspark, Spark SQL/mysqlKnowledge of software development life cycle preferredExperience creating real time and rich data visualizations that involves large datasetsExperience manipulating structured and unstructured data sources for analysisWe regret to inform that only shortlisted candidates will be contacted.Interested candidates, please forward your resume to [email protected]Kelly Services (Singapore) Pte Ltd EA License No. 01C4394 I RCB No. 200007268E EA Reg. No. R1768100 (Lin Jinquan Isaiah Simon)By submitting your curriculum vitae or personal data to us in connection with your job application, you hereby consent to Kelly Services (Singapore) Pte Ltd and its affiliates (including Capita Pte Ltd, P-Serv Pte Ltd, PERSOLKELLY Pte Ltd, BTI Executive Search Pte Ltd, PERSOLKELLY Consulting Pte Ltd) collecting, using and disclosing your personal data to prospective employers to collect, use and disclose these personal data for purposes of evaluating your suitability for employment ,conducting reference checks, administering employment related services and such other purposes stated in our privacy policy. You acknowledge that the full privacy policy is available at www.kellyservices.com.sg or at your request. If you wish to withdraw your consent, please drop us an email [email protected] to let us know. All resumes and personal particulars sent to the aforementioned email address will Not be attended to as the address is not for job application purpose."
13,Data Analyst - 6 Months Contract (Convertible),RecruitFirst Pte. Ltd,Central,1d ago,https://www.jobstreet.com.sg/en/job/data-analyst-6-months-contract-convertible-8168824?jobId=jobstreet-sg-job-8168824&sectionRank=15&token=0~a0dc3286-3f87-48b4-bfba-a600cb04b8e3&fr=SRP%20Job%20Listing,"Responsibilities:Sourcing and validating raw data as well as doing data quality checksAnalysing company financial statements and identifying specific data pointsUpdating and processing data onto the database adhering to time sensitivityMaintaining and enhancing existing databaseApplying problem-solving skills to enhance processes and softwareTake ownership and be proactive with key areas of responsibilitiesRequirements:Bachelor or/and Master degree in Business, Finance, Accounting, Economics or equivalent work experienceAbility to think critically and demonstrate examples of improving or developing processesStrong organization skills with ability to handle multiple projects simultaneously within tight deadlinesInterested applicants,Please forward a copy of your resume to [email protected]R1984307 | Amber Chang Wei ChiehEA13C6342 | RecruitFirst Pte Ltd"
14,$4500 / Data Analyst (SQL) / Healthcare / 6 months extendable /Urgent,Capita Pte Ltd – Temp & Contract,Central,1h ago,https://www.jobstreet.com.sg/en/job/$4500-data-analyst-sql-healthcare-6-months-extendable-urgent-8170746?jobId=jobstreet-sg-job-8170746&sectionRank=16&token=0~a0dc3286-3f87-48b4-bfba-a600cb04b8e3&fr=SRP%20Job%20Listing,"Duration: 6 months extendable contractWork Location: Nearby Redhill and Queenstown (Shuttle bus available from MRT)Job DescriptionThe analytics team will provide the projection for each work stream and service programme and guide the development team to design the new hospital, as well as support the Enterprise analytics in research programme.You will be responsible in stakeholder management, to address the business and information needs and translate into analytics problem, as well as obtain the underlying data, processing, analysing and present to stake holders.You will also be responsible for managing and maintaining the data assets, dashboards and projects related to data analytics applications to support the on-going operation’s needs.Requirements:Masters’ Degree or Bachelors’ Degree in Operation Research/Management, Mathematics, Computer Science/Engineering, Industrial Engineering, Business Analytics, Information System, Physics or other quantitative disciplines.Ability to work with multi-disciplinary teams, collaborative, accommodative and supportive to contribute to the shared vision and common goal.Min. 2-3 years of hands-on experience in data mining, machine learning modelling (natural language processing, regression, time-series etc.), predictive analytics and big data analytics. Fresh graduate will also be considered based on merit.Knowledge & experience in advanced statistical techniques and concepts (regression, properties of distributions, statistical tests and proper usage, etc.)Proficiency with data science and analytics tools will be plus (Such as R, python, SPSS, Excel, Tableau or Alteryx)Prior experience in health services is added advantage, but not a must.Good understanding of database and ETL techniques and tools (such as SQL, OBIEE etc.)Strong written and oral communication skills*Only SINGAPOREANS may apply*As this position is urgent, kindly email detailed CV to [email protected] / [email protected] attention to JOEW032  with:Notice period and Reason for leaving each job.We regret to inform that only shortlisted candidates will be notified.EA License No.: 08C2893EA Reg. ID: R1988043 Wan Joe YeeBy submitting your curriculum vitae or personal data to us in connection with your job application, you are deemed to have read and agreed to the terms of our Privacy Policy, and consented to the collection, use and disclosure of your personal data by us and our affiliates, in accordance with our Privacy Policy. Please access our website at www.capitasingapore.com for a copy of our Privacy Policy. If you wish to withdraw your consent, please drop us an email at [email protected] to let us know. All resumes and personal particulars sent to the aforementioned email address will NOT be attended to as the address is not for job application purposes."
15,Data Analyst (Shipping/ up to S$ 4.5K) (ID: 504548),PERSOL Singapore (a division of Capita Pte Ltd),Central,1d ago,https://www.jobstreet.com.sg/en/job/data-analyst-shipping-up-to-s$-4-5k-id:-504548-8167515?jobId=jobstreet-sg-job-8167515&sectionRank=19&token=0~a0dc3286-3f87-48b4-bfba-a600cb04b8e3&fr=SRP%20Job%20Listing,"Our client within Shipping industry is looking for Data Analyst.Job ResponsibilitiesAnalyze the system demand and return forecast results and adjust the system forecast parameters in identifying the issues.Enhance and develop system forecast logic algorithm, understanding the system forecast logic and management process Respond to the forecast system user's inquiry as to the system forecast value background.Supervise and support the junior analyst activities.Support Line Manager to expedite the team’s strategy, direction, and target.Job Requirements:Minimum Bachelor's Degree/ Diploma holder.Proficiency in Excel/VBP/Tableau/Cognos/SQLExcellent analytical skillsetStrong problem-solving and Risk analysis skillset analyzing Company internal system data as well as the forecast system background data.Ability to review complex information, perform comparative analysis, and make recommendations based on findingsIndividual who is able to mentor & coach junior staff, with strong communication skillsPreferably minimum 2 years’ experience in the industryPreferably with shipping / logistics job experienceFor interested parties, please send resume to [email protected]We regret that only shortlisted candidates will be notifiedCapita Pte Ltd | EA Licence No 08C2893  | RCB No. 200701282MGrace Chuah Chia Wen | EA Registration No : R1876066"
16,Data Analyst,ACExcellent Consulting Pte Ltd,Central,2d ago,https://www.jobstreet.com.sg/en/job/data-analyst-8165647?jobId=jobstreet-sg-job-8165647&sectionRank=22&token=0~a0dc3286-3f87-48b4-bfba-a600cb04b8e3&fr=SRP%20Job%20Listing,"Responsibilities:Create and manage Business Intelligence (BI) and analytics solutions that turn data into intelligence, to provide visibility and facilitate decision-making and actionsPerform software programming and interface with existing ERP Systems and databases that make it possible for organization to use the data effectively.Support organization on efficiency improvement in operations and processes, through development/ discovery of software and existing/new technologies.Develop process automation tools to standardize and improve efficiency of the various work flow/processes in the organizationUnderstand the requirement of each departments and develop BI tools such as reports, dashboards and/or systems for the various process owners and management, to meet business needsCreate user guides and documentation for the various BI and process automation tools, to ensure usability and maintainabilityDevelop/source and implement new technologies for more efficient and secured business processesLead, coordinate and evaluate with the various departments, to implement special IT/software related projects identifiedRequirements:Degree in IT or other equivalentMinimum 3 years of working experience on Software development (Excel) and JAVA –Eclipse (J2EE)​Qualified candidates please email your detailed CV in WORD format to [email protected]"
17,1 Year Contract Bank Data Analyst,RECRUIT EXPRESS PTE LTD,Central,2d ago,https://www.jobstreet.com.sg/en/job/1-year-contract-bank-data-analyst-8166565?jobId=jobstreet-sg-job-8166565&sectionRank=23&token=0~a0dc3286-3f87-48b4-bfba-a600cb04b8e3&fr=SRP%20Job%20Listing,"Job Scope1. Business Intelligences (dashboards / reports)Deliver dashboards / reports timely and accuratelyCarry out analytics activities at all stages of the data analytics life-cycle –understanding business needs sourcing, cleansing and transforming data conducting exploratory data analysis developing and validating models explaining analytics results, implications and proposals in business termsLocate and define new process improvement opportunitiesApply appropriate tools – R, Tableau, Business Objects, SQL & ExcelTranslate analytics findings and insights into actionable business proposals and activities2. Support ad-hoc analyticsEngage stakeholders to understand business requirementsIdentify data needed to answer business questions, consult data and process owners to assess whether data is available, and if it is suitable for the taskUse appropriate analytics tools to extract, cleanse, filter, aggregate and present data, with a focus on meeting business needs and quick turnaroundBuild and generate requested reports and dashboards, ensuring that delivery meets agreed timelines, insights are explained and analysis recommendations are actionableJob RequirementsDegree in Data Science, Data Analytics or Applied StatisticsMin 5 years of relevant experience in a Financial InstitutionTechnical skills - R programs (Intermediate level), advanced Excel functions, Excel VBA, SQL, tableau and business object (SAP)Wealth Management knowledge – WM financials, products and operations knowledgeInterested applicants please email your resume to [email protected]Ivy Tham Yi Ru (R1104692)Recruit Express Pte Ltd (EA Number: 99C4599)"
18,Operation Data Analyst,Ocean Network Express Pte Ltd,Downtown Core,1d ago,https://www.jobstreet.com.sg/en/job/operation-data-analyst-8138271?jobId=jobstreet-sg-job-8138271&sectionRank=24&token=0~a0dc3286-3f87-48b4-bfba-a600cb04b8e3&fr=SRP%20Job%20Listing,"JOB PURPOSEMeasure operation KPI and analyze issues such as container flow management data (inventory management and container flow management).Coordinate with various stakeholders and improve performance for container flow management activities.​Duties and ResponsibilitiesMeasure and analyze the Regional and front offices’ performance for container flow management activities.Based on the analysis (root cause/counter actions/preventive measurement), come up with ideas to improve the performance with various stakeholdersAnalyse operation cost result and manage the container flow positioning cost system.Work Experience (years of experience in the industry and functional area)Strong analytical skillset including data handling skills and logical thinking.Ability to review complex information, perform comparative analysis, and come up with possible solution idea based on findings and execute with various stakeholders.Good communication skillsMinimum 2 years experience in the industry will be an advantageShipping / logistics operation job experience will be an advantageInterested candidates please apply via “APPLY NOW” button.We regret only shortlisted candidates will be notified.Thank you for your application."
19,Data Analyst (US Financial MNC / Raffles / $3200),RecruitFirst Pte. Ltd,Central,1d ago,https://www.jobstreet.com.sg/en/job/data-analyst-us-financial-mnc-raffles-$3200-8167555?jobId=jobstreet-sg-job-8167555&sectionRank=25&token=0~a0dc3286-3f87-48b4-bfba-a600cb04b8e3&fr=SRP%20Job%20Listing,"1) Career Growth2) Excellent MNCResponsibilitiesSourcing and validating raw data as well as doing data quality checksAnalysing company financial statements and identifying specific data pointsUpdating and processing data onto the database adhering to time sensitivityMaintaining and enhancing existing databaseApplying problem-solving skills to enhance processes and softwareTake ownership and be proactive with key areas of responsibilitiesRequirementsBachelor or/and Master degree in Business, Finance, Accounting, Economics or equivalent work experiencePrior experience / strong knowledge and understanding of the financial marketsAbility to think critically and demonstrate examples of improving or developing processesStrong organization skills with ability to handle multiple projects simultaneously within tight deadlinesEffective project management skills and ability to prioritize tasks in a fast pace changing environmentPractical experience in interpreting financial statements and strong knowledge/understanding of finance and accountingHave passed CFA level 1 or working towards the qualificationInterested candidates please send an updated copy of your resume to [email protected]Isabel Chan Si Rong (R1768400)RecruitFirst Pte Ltd (EA 13C6342)"
